question,response,type
"News article:

A further 100 people were also injured in the 7.4 magnitude aftershock which shook the Miyagi prefecture region late Thursday night, resulting in widespread blackouts, motorway closures and swaying buildings as far away as Tokyo. 
  
 As a result of the quake, water leaked out of spent fuel pools at Onagawa Nuclear Power Plant in northeast Japan, although there were no changes in radiation levels outside the complex, according to Tohoku Electric Power, its operators. 
  
 The leakages were reported from three reactors at the plant, which was earlier shut down safely after it was hit by a 43-foot tsunami triggered by the March 11 earthquake. 
  
 ""We detected a small rise in radiation levels inside the reactor buildings, and are trying to find the locations of the leaks,” said an official for Tohoku Electric Power. “We see no change in radiation levels outside the reactor buildings.” 
  
 The aftershock, which was focused on the same region devastated in the March 11 disasters, triggered an immediate tsunami warning which was later lifted. 
  
 Officials at the earlier damaged Fukushima Daiichi nuclear power plant briefly evacuated workers following the aftershock, before continuing with efforts to restore control at the site. 
  
 Workers at the Fukushima plant are currently involved in injecting nitrogen into reactor No 1 as a “preventative measure” to prevent the risk of a hydrogen gas explosion. 
  
 Two of the world’s largest concrete pumps were reported to be making their way from the United States to the Fukushima plant, to help officials in the attempts to restore crucial cooling functions. 
  
 As a result of on-going efforts, radiation levels around the plant are believed to be subsiding to “a level very close to background,”, according to the latest reports from the International Atomic Energy Agency (IAEA). ||||| Radioactive water spilled from pools holding spent nuclear fuel rods at the Onagawa power plant in Miyagi Prefecture following the strong earthquake late Thursday, the nuclear safety agency said Friday. 
  
 At the crisis-hit Fukushima Daiichi nuclear power plant or at another plant in Fukushima Prefecture, meanwhile, no new problems have surfaced since the magnitude 7.1 aftershock of the deadly March 11 quake. 
  
 While the spent fuel pools at the Onagawa plant and the Higashidori nuclear power station in Aomori Prefecture, both operated by Tohoku Electric Power Co., lost their cooling functions for 20 to 80 minutes after the quake, the temperature hardly rose, the Nuclear and Industrial Safety Agency said. 
  
 A small amount of contaminated water spilled on the floor was observed inside the buildings at all three reactors at the Onagawa plant, which has suspended operations since the mega earthquake and tsunami last month, according to the agency. 
  
 In all, water spilled or leaked at eight sections of the plant as a result of the 11:32 p.m. quake, according to Tohoku Electric. 
  
 As much as 3.8 liters of water leaked at one of them, with the highest level of a radioactive isotope -- 5,410 bequerels per kilogram -- found in the spilled water on the floor beside a spent fuel pool in the building housing the No. 1 reactor. 
  
 A spent nuclear fuel disposal facility in the village of Rokkasho, Aomori Prefecture, lost external power supply and switched to an emergency generator but power was restored at 9:44 a.m. Friday, according to the agency. 
  
 The Higashidori nuclear power plant in Aomori also got power from an emergency generator after the Thursday quake, but its external power supply was restored at 3:30 a.m. Friday, according to Tohoku Electric and the government's countermeasure headquarters. 
  
 No changes in radiation readings have been observed at any of the facilities, including Fukushima Daini, a nuclear power plant just south of Daiichi, both operated by Tokyo Electric Power Co. Nor is there any information that radioactive materials have leaked outside due to the aftershock. 
  
 Higashidori's only reactor was undergoing regular maintenance at the time of the temblor, and its fuel rods were not inside the core but were stored in a spent fuel pool, the agency said. 
  
 The Onagawa nuclear plant lost three of its four external power connections but one of them was restored on Friday morning, with its cooling system for the spent nuclear fuel pools temporarily stopped. 
  
 Tokyo Electric said no new abnormalities have developed in any of the six reactors at Fukushima Daiichi, which it has struggled to bring under control since the plant was crippled by the disaster and began spewing radioactive materials into the environment. 
  
 No workers at the plant were hurt in the aftershock, the power supplier said, adding that its damage control steps of pumping fresh water into the No. 1 to No. 3 reactors to prevent them from overheating and injecting nitrogen into the No. 1 unit to prevent hydrogen from exploding were unaffected. 
  
 The quake late Thursday, which was off Miyagi at a depth of about 66 kilometers, jolted areas in the prefecture already hit hard by last month's quake. 
  
 Meanwhile, Tokyo Electric continued to release relatively low-level radioactive water into the Pacific Ocean to make room for far more contaminated water that has flooded the basement of the No. 2 reactor's turbine building. 
  
 Once the utility finishes releasing the low contaminated water, it will check a facility that had held the water to see if there are any cracks to ensure that there would be no leakage when the more contaminated water is diverted there. 
  
 The turbine building needs to be cleared of radioactive water to restore sustainable cooling systems for the No. 2 reactor, which lost normal cooling functions and suffered a partial meltdown of the core since the deadly quake last month, along with the No. 1 and No. 3 reactors. 
  
 The No. 4 reactor had no fuel in its core but suffered a loss of cooling functions for its fuel pool. The No. 5 and No. 6 reactors have since been brought to a stable condition. 
  
 On Friday, the power company reinforced the earth around a cracked pit, from which highly radioactive water had leaked into the sea before it was successfully plugged by injecting sodium silicate, a chemical agent known as ''water glass.'' 
  
 Since the leakage had stopped, the company observed about a 7-centimeter rise in the level of contaminated water in a vertical tunnel connected to the No. 2 reactor building, from which the tainted water is believed to have originated. 
  
 ==Kyodo |||||
What is a shorter version of the above article?","A 7.4 magnitude aftershock hit the Miyagi prefecture region late Thursday night, causing 100 injuries, blackouts, motorway closures, and swaying buildings. The quake led to water leaks in spent fuel pools at the Onagawa Nuclear Power Plant in northeast Japan, but radiation levels remained unchanged outside the complex. Officials at the Fukushima Daiichi nuclear power plant briefly evacuated workers following the aftershock before continuing their efforts to restore control. Radiation levels around the plant have reportedly been decreasing, approaching background levels, per the International Atomic Energy Agency.",wh
"Premise: ""A man in a red shirt is looking in his back pocket.""
Hypothesis: ""A man is looking at his back pocket.""
Is the hypothesis entailed by the premise?
Options:
- yes
- it is not possible to tell
- no A step-by-step solution is:
","1. Analyze the premise: ""A man in a red shirt is looking in his back pocket.""
   - The premise states that there is a man (wearing a red shirt) who is looking in his back pocket.

2. Analyze the hypothesis: ""A man is looking at his back pocket.""
   - The hypothesis states that there is a man who is looking at his back pocket.

3. Compare the premise and hypothesis:
   - Both statements involve a man looking at/in his back pocket.
   - The premise adds an additional detail about the man wearing a red shirt, which is not mentioned in the hypothesis.

4. Check the entailment:
   - Entailment means that if the premise is true, then the hypothesis must also be true.
   - In this case, if the man in the red shirt is looking in his back pocket (premise), then it is certainly true that a man is looking at his back pocket (hypothesis), no matter the color of his shirt.

5. Conclusion:
   - Based on the analysis above, the hypothesis is entailed by the premise. The correct answer is ""yes.""",yn
"download as PDF, TXT or read online from Scribd 
  
 Louisiana Survey Results 
  
 Q1 Given the choices of Jeb Bush, Chris Christie, Ted Cruz, Bobby Jindal, Susana Martinez, Rand Paul, Marco Rubio, Paul Ryan, and Rick Santorum, who would you most like to see as the GOP candidate for President in 2016? 
  
 Jeb Bush .................17% Rand Paul ...............18% Chris Christie ..........10% Marco Rubio ........... 8% Ted Cruz ................. 8% Paul Ryan ...............11% Bobby Jindal ...........10% Rick Santorum ........ 5% Susana Martinez ..... 0% Someone else/Not 13% sure ......................... 
  
 Q3 
  
 Would you describe yourself as very liberal, somewhat liberal, moderate, somewhat conservative, or very conservative? 
  
 Very liberal ...................................................... 3% Somewhat liberal ............................................ 5% Moderate......................................................... 11% Somewhat conservative .................................. 38% Very conservative ........................................... 44% 
  
 Q4 
  
 If you are a woman, press 1. If a man, press 2. 
  
 Woman ........................................................... 51% Man ................................................................. 49% 
  
 Q2 
  
 Who do you think was more responsible for the poor response to Hurricane Katrina: George W. Bush or Barack Obama? 
  
 George W. Bush ............................................. 28% Barack Obama ................................................ 29% Not sure .......................................................... 44% 
  
 Q5 
  
 If you are 18 to 45 years old, press 1. If 46 to 65, press 2. If you are older than 65, press 3. 
  
 18 to 45 ........................................................... 28% 46 to 65 ........................................................... 35% Older than 65 .................................................. 37% 
  
 3020 Highwoods Blvd. Raleigh, NC 27604 Survey of 274 Republican primary voters information@publicpolicypolling.com / 888 621-6988 
  
 August 16-19, 2013 
  
 Crosstabs 
  
 Ideology Very Som ew hat Som ew hat Very liberal Moderate conservative conservative Base liberal 2016 GOP Pres Preference Jeb Bush 17% Chris Christie 10% Ted Cruz 8% 17% 17% 31% 17% 17% 24% 49% 17% 10% 6% 25% 10% 26% 10% 7% 14% 22% 8% 4% 8% 20% 8% 11% 3% 17% 14% 4% 14% 11% 1% 16% 7% 13% 7% 12% 
  
 More Responsible for Katrina George W. Bush 28% Barack Obam a 29% Not sure 44% 
  
 Ideology Very Som ew hat Som ew hat Very Base liberal liberal Moderate conservative conservative 
  
 66% 17% 17% 
  
 64% 36% 
  
 33% 24% 42% 
  
 33% 24% 43% 
  
 17% 36% 47% 
  
 Bobby Jindal 10% Susana Martinez 0% 
  
 Rand Paul 18% Marco Rubio 8% 
  
 Paul Ryan 11% Rick Santorum 5% 
  
 Som eone else/Not 13% sure 
  
 Gender Base Wom an 2016 GOP Pres Preference Jeb Bush 17% Chris Christie 10% Ted Cruz 8% 18% 11% 6% 12% 1% 14% 7% 9% 5% 19% 15% 10% 10% 9% 22% 8% 14% 4% 8% Man 
  
 More Responsible for Katrina George W. Bush 28% Barack Obam a 29% Not sure 44% 
  
 Gender Base Wom an Man 
  
 23% 27% 50% 
  
 32% 30% 38% 
  
 Bobby Jindal 10% Susana Martinez 0% 
  
 Rand Paul 18% Marco Rubio 8% 
  
 Paul Ryan 11% Rick Santorum 5% 
  
 Som eone else/Not 13% sure 
  
 August 16-19, 2013 
  
 survey of 274 Republican primary voters 
  
 3020 Highwoods Blvd. Raleigh, NC 27604 information@publicpolicypolling.com / 888 621-6988 
  
 Crosstabs 
  
 Age Base 2016 GOP Pres Preference Jeb Bush 17% Chris Christie 10% Ted Cruz 8% 12% 9% 3% 15% 24% 6% 12% 9% 12% 17% 13% 8% 12% 1% 17% 6% 9% 4% 13% 20% 9% 12% 6% 14% 10% 13% 3% 14% 18 to 46 to Older 45 65 than 65 
  
 Age Base More Responsible for Katrina George W. Bush 28% Barack Obam a 29% Not sure 44% 33% 17% 50% 27% 24% 49% 24% 42% 33% 18 to 46 to Older 45 65 than 65 
  
 Bobby Jindal 10% Susana Martinez 0% 
  
 Rand Paul 18% Marco Rubio 8% 
  
 Paul Ryan 11% Rick Santorum 5% 
  
 Som eone else/Not 13% sure 
  
 August 16-19, 2013 
  
 survey of 274 Republican primary voters 
  
 3020 Highwoods Blvd. Raleigh, NC 27604 information@publicpolicypolling.com / 888 621-6988 ||||| A significant chunk of Louisiana Republicans evidently believe that President Barack Obama is to blame for the poor response to the hurricane that ravaged their state more than three years before he took office. 
  
 The latest survey from Democratic-leaning Public Policy Polling, provided exclusively to TPM, showed an eye-popping divide among Republicans in the Bayou State when it comes to accountability for the government's post-Katrina blunders. 
  
 Twenty-eight percent said they think former President George W. Bush, who was in office at the time, was more responsible for the poor federal response while 29 percent said Obama, who was still a freshman U.S. Senator when the storm battered the Gulf Coast in 2005, was more responsible. Nearly half of Louisiana Republicans — 44 percent — said they aren't sure who to blame. 
  
 Bush was criticized heavily when he did not immediately return to Washington from his vacation in Texas after the storm had reached landfall. The government was also slow to provide relief aid and Michael Brown, then-director of the Federal Emergency Management Agency (FEMA), admitted in a televised interview that he learned that many of the storm's victims at the New Orleans Convention Center were without food and water well after the situation had been reported in the press. 
  
 Brown's handling of the response ultimately led to his resignation, but Bush offered an infamous endorsement of the FEMA chief only days before he stepped down. 
  
 ""Brownie, you're doing a heck of a job,"" Bush said. 
  
 PPP Louisiana poll, August 2013 
  
 PPP Louisiana poll, August 2013 |||||

Write a summary.","This survey called ""Louisiana Survey Results"" shows the opinions of the Republican primary voters in Louisiana about various topics. They were asked questions about who they would like to see as the GOP candidate for President in 2016, if they think George W. Bush or Barack Obama was more responsible for the poor response to Hurricane Katrina, and to describe themselves based on their political beliefs and age. The results show different percentages for each answer, and it is interesting to see how these voters think about these topics.",wh
"Given the following reasoning and answer, what was the question? The moon is too far away to be touched.
 The answer: Sentence B","The question was likely: ""Which sentence is true, Sentence A or Sentence B? Sentence A: The moon can be touched by a human standing on Earth. Sentence B: The moon is too far away to be touched by a human standing on Earth.""",wh
"Found the following article online, use it to answer the question: What is the last name of the person who claims ""I have always found inspiration in the calm beauty of Scotland""?  Paul McCartney said he came up with the title ""The Long and Winding Road"" during one of his first visits to his property High Park Farm, near Campbeltown in Scotland, which he purchased in June 1966. The phrase was inspired by the sight of a road ""stretching up into the hills"" in the remote Highlands surroundings of lochs and distant mountains. He wrote the song at his farm in 1968, inspired by the growing tension among the Beatles. Based on other comments McCartney has made, author Howard Sounes writes, the lyrics can be seen as McCartney expressing his anguish at the direction of his personal life, as well as a nostalgic look back at the Beatles' history. McCartney recalled: ""I just sat down at my piano in Scotland, started playing and came up with that song, imagining it was going to be done by someone like Ray Charles. I have always found inspiration in the calm beauty of Scotland and again it proved the place where I found inspiration.""Once back in London, McCartney recorded a demo version of ""The Long and Winding Road"" during one of the recording sessions for The Beatles. Later, he offered the song to Tom Jones on the condition that the singer release it as his next single. In Jones' recollection, he was forced to turn it down since his record company were about to issue ""Without Love"" as a single.The song takes the form of a piano-based ballad, with conventional chord changes. McCartney described the chords as ""slightly jazzy"" and in keeping with Charles' style. The song's home key is E-flat major but it also uses the relative C minor. Lyrically, it is a sad and melancholic song, with an evocation of an as-yet unrequited, though apparently inevitable, love. In an interview in 1994, McCartney described the lyric more obliquely: ""It's rather a sad song. I like writing sad songs, it's a good bag to get into because you can actually acknowledge some deeper feelings of your own and put them in it. It's a good vehicle, it saves having to go to a psychiatrist.""The opening theme is repeated throughout. The...
","The last name of the person who claims ""I have always found inspiration in the calm beauty of Scotland"" is McCartney.",stmt
"Please answer the following question: Information:  - Botswana , officially the Republic of Botswana, is a landlocked country located in Southern Africa. The citizens refer to themselves as ""Batswana"" (singular: ""Motswana""). Formerly the British protectorate of Bechuanaland, Botswana adopted its new name after becoming independent within the Commonwealth on 30 September 1966. Since then, it has maintained a strong tradition of stable representative democracy, with a consistent record of uninterrupted democratic elections.  - The Atlantic Ocean is the second largest of the world's oceans with a total area of about . It covers approximately 20 percent of the Earth's surface and about 29 percent of its water surface area. It separates the ""Old World"" from the ""New World"".  - The Old World consists of Africa, Europe, and Asia, regarded collectively as the part of the world known to Europeans before contact with the Americas. It is used in the context of, and contrast with, the New World (Americas).  - Namibia, officially the Republic of Namibia (German: ), is a country in southern Africa whose western border is the Atlantic Ocean. It shares land borders with Zambia and Angola to the north, Botswana to the east and South Africa to the south and east. Although it does not border Zimbabwe, a part of less than 200 metres of the Zambezi River (essentially a small bulge in Botswana to achieve a Botswana/Zambia micro-border) separates the two countries. Namibia gained independence from South Africa on 21 March 1990, following the Namibian War of Independence. Its capital and largest city is Windhoek, and it is a member state of the United Nations (UN), the Southern African Development Community (SADC), the African Union (AU), and the Commonwealth of Nations.  - Zimbabwe, officially the Republic of Zimbabwe, is a landlocked country located in southern Africa, between the Zambezi and Limpopo Rivers. It is bordered by South Africa to the south, Botswana to the west and southwest, Zambia to the northwest, and Mozambique to the east and northeast. Although it does not border Namibia, less than 200 metres of the Zambezi River separates it from that country. The capital and largest city is Harare. A country of roughly 13 million people, Zimbabwe has 16 official languages, with English, Shona, and Ndebele the most commonly used.  - Southern Africa is the southernmost region of the African continent, variably defined by geography or geopolitics, and including several countries. The term ""southern Africa"" or ""Southern Africa"", generally includes Angola, Botswana, Lesotho, Malawi, Mozambique, Namibia, South Africa, Swaziland, Zambia, and Zimbabwe. From a political perspective the region is said to be unipolar with South Africa as a first regional power.  - Mozambique (or ), officially the Republic of Mozambique (or """") is a country in Southeast Africa bordered by the Indian Ocean to the east, Tanzania to the north, Malawi and Zambia to the northwest, Zimbabwe to the west, and Swaziland and South Africa to the southwest. It is separated from Madagascar by the Mozambique Channel to the east. The capital and largest city is Maputo (known as ""Lourenço Marques"" before independence).  - Africa is the world's second-largest and second-most-populous continent. At about 30.3 million km² (11.7 million square miles) including adjacent islands, it covers 6% of Earth's total surface area and 20.4 % of its total land area. With 1.1 billion people as of 2013, it accounts for about 15% of the world's human population. The continent is surrounded by the Mediterranean Sea to the north, both the Suez Canal and the Red Sea along the Sinai Peninsula to the northeast, the Indian Ocean to the southeast, and the Atlantic Ocean to the west. The continent includes Madagascar and various archipelagos. It contains 54 fully recognized sovereign states (countries), nine territories and two ""de facto"" independent states with limited or no recognition.  - Swaziland, officially the Kingdom of Swaziland (or ; Swazi: ""Umbuso weSwatini""; sometimes called kaNgwane or Eswatini), is a sovereign state in Southern Africa. It is neighboured by Mozambique to its northeast and by South Africa to its north, west and south. The country and its people take their names from Mswati II, the 19th-century king under whose rule Swazi territory was expanded and unified.  - Sub-Saharan Africa is, geographically, the area of the continent of Africa that lies south of the Sahara desert. According to the UN, it consists of all African countries that are fully or partially located south of the Sahara. It contrasts with North Africa, whose territories are part of the League of Arab states within the Arab world. Somalia, Djibouti, Comoros and Mauritania are geographically in Sub-Saharan Africa, but are likewise Arab states and part of the Arab world.  - The Bantu languages, technically the Narrow Bantu languages (as opposed to ""Wide Bantu"", a loosely defined categorization which includes other Bantoid languages), constitute a traditional branch of the NigerCongo languages. There are about 250 Bantu languages by the criterion of mutual intelligibility, though the distinction between language and dialect is often unclear, and ""Ethnologue"" counts 535 languages. Bantu languages are spoken largely east and south of present-day Cameroon, that is, in the regions commonly known as Central Africa, Southeast Africa, and Southern Africa. Parts of the Bantu area include languages from other language families (see map).  - The Indian Ocean is the third largest of the world's oceanic divisions, covering (approximately 20% of the water on the Earth's surface). It is bounded by Asia on the north, on the west by Africa, on the east by Australia, and on the south by the Southern Ocean or, depending on definition, by Antarctica. It is named after the country of India. The Indian Ocean is known as ""Ratnkara"", """"the mine of gems"""" in ancient Sanskrit literature, and as ""Hind Mahsgar"", """"the great Indian sea"""", in Hindi.  - Mark Dornford - May ( born 29 September 1955 ) is an English theatre and film director , now based in South Africa .  - Lesotho, officially the Kingdom of Lesotho, is an enclaved, landlocked country in southern Africa completely surrounded by South Africa. It is just over in size and has a population slightly over two million. Its capital and largest city is Maseru.   - Multiracial is defined as made up of or relating to people of many races. Many terms exist for people of various multiracial backgrounds. While some of the terms used in the past are considered insulting and offensive, there are many socially acceptable modern terms that multiracial people identify with. These include ""mixed-race"" (or simply ""mixed""), ""biracial"", ""multiracial"", ""métis"", ""mestizo"", ""mulatto"", ""dougla"", and ""pardo"".  - The Eastern Hemisphere is a geographical term for the half of the earth that is east of the prime meridian (which crosses Greenwich, England) and west of the antimeridian. It is also used to refer to Europe, Asia, Africa, and Australia, in contrast with the Western Hemisphere, which includes North and South America. This hemisphere may also be called the ""Oriental Hemisphere"". In addition, it may be used in a cultural or geopolitical sense as a synonym for the ""Old World"".  - South Africa, officially the Republic of South Africa (RSA), is the southernmost country in Africa. It is bounded on the south by of coastline of Southern Africa stretching along the South Atlantic and Indian Oceans, on the north by the neighbouring countries of Namibia, Botswana and Zimbabwe, and on the east and northeast by Mozambique and Swaziland, and surrounding the kingdom of Lesotho. South Africa is the 25th-largest country in the world by land area, and with close to 56 million people, is the world's 24th-most populous nation. It is the southernmost country on the mainland of the Old World or the Eastern Hemisphere. It is the only country that borders both the Atlantic Ocean and the Indian Ocean. About 80 percent of South Africans are of Sub-Saharan African ancestry, divided among a variety of ethnic groups speaking different Bantu languages, nine of which have official status. The remaining population consists of Africa's largest communities of European (white), Asian (Indian), and multiracial (coloured) ancestry.    What object entity has the relation of 'place of birth' with the subject 'mark dornford-may'?   Choices: - africa  - atlantic ocean  - au  - botswana  - cameroon  - central  - comoros  - england  - fully  - german  - greenwich  - indian ocean  - king  - lesotho  - limpopo  - made  - malawi  - march  - maseru  - mine  - most  - mozambique  - mutual  - namibia  - niger  - of  - peninsula  - republic  - south africa  - southeast  - southern africa  - swaziland  - tanzania  - the americas  - tradition  - union  - zimbabwe
A:",england,stmt
"Question: Generate a question that has the following answer:  London  for the following movie plot:  The crew of the space shuttle Churchill finds a 150-mile long spaceship hidden in the corona of Halley's Comet. The crew finds hundreds of dead, shrivelled bat-like creatures and three naked humanoid bodies (two male and one female) in suspended animation within glass containers. The crew recovers the three aliens and begins the return trip to Earth. During the return journey, mission control loses contact with the shuttle and a rescue mission is launched to investigate. The rescuers discover that the Churchill has been severely damaged by fire, with its internal components destroyed, and the three containers bearing the aliens are all that remain intact. The aliens are taken to the European Space Research Centre in London where they are watched over by Dr. Leonard Bukovski (Gothard) and Dr. Hans Fallada (Finlay). Prior to an autopsy, the female alien (May) awakens and drains the ""life force"" out of a guard. The female alien then escapes the research facility and proceeds to drain various other humans of their life force, revealing an ability to shape-shift. It transpires that the aliens are from a race of space vampires that consume the life force of living beings, rather than their blood. Meanwhile, in Texas, an escape pod from the Churchill is found, with Colonel Tom Carlsen (Railsback) inside. Carlsen is flown to London where he describes the course of events, culminating in the draining of the crew's life force. Carlsen explains that he set fire to the shuttle with the intention of saving Earth from the same fate and escaped in the pod. However, when he is hypnotized, it becomes clear that Carlsen possesses a psychic link to the female alien. Carlsen and SAS Col. Colin Caine (Firth) trace the alien to a psychiatric hospital in Yorkshire. While in Yorkshire, the two believe they have managed to trap the alien within the heavily sedated body of the hospital's manager, Dr Armstrong (Stewart); but Carlsen and Caine later learn that they were deceived, as the aliens had wanted to draw the pair out of...
Answer:",In which city is the European Space Research Centre located in the movie plot described above?,stmt
"Burkina Faso's fairytale at the Africa Cup of Nations will have one more enthralling chapter after it overcame the might of four-time champion Ghana to seal a place in the final for the very first time in South Africa Wednesday. In a contest which was marred by a number of mystifying refereeing decisions, Burkina Faso survived the sending off of striker David Pitroipa and the ruling out of a seemingly legitimate strike to prevail on penalties. With the game ending 1-1 after extra-time, it was the Burkinabe which held its nerve to progress 3-2 on penalties and advance to Sunday's showpiece final against Nigeria. 'Super Eagles' end Ivory Coast's AFCON hopes. The Super Eagles had earlier booked their place in the final with a convincing 4-1 win over Mali in Durban. Burkina Faso, which had not won a game away from home at the tournament before arriving in South Afirca, had endured a frustrating night with referee Jdidi Slim's display a constant cause of consternation. But it will now have to take on Nigeria without star striker Jonathan Pitroipa, who was harshly shown a second yellow card for diving when it looked as if he had been fouled. Pitroipa's 117th minute dismissal leaves the Burkinabe without its two star strikers following the injury to talented forward Alain Traore. Burkina Faso should have been given the chance to take an early lead when John Boye sent Pitroipa hurtling towards the turf inside the Ghana penalty area, but the referee wrongly waved away appeals for a spot kick. Instead, it was Ghana which was controversially awarded a penalty after the Jdidi adjudged that Christian Atsu had been fouled inside the penalty area. Mubarak Wakaso stood up to fire home from 12 yards and net his fourth goal of the competition. What can we expect from the 2013 Africa Cup of Nations? With both teams struggling to play on a terrible surface at the Mbombela Stadium, the game lacked any real sort of quality. But what it lacked in quality it more than made up for in drama and excitement as Burkina Faso continued to fight back against a perceived injustice. Ghana goalkeeper Fatawu Dauda produced a wonderful reaction save to deny Aristide Bance, while Asamoah Gyan hit a post for the Black Stars. But with an hour on the clock, the underdog finally got its reward as Bance was allowed time and space to fire home a deserved equalizer. Burkina Faso make giant strides. With the game moving into extra-time, Burkina Faso appeared to have scored a dramatic winner when Prejuce Nakoulma beat Dauda to the ball and prodded into the net. But most of those packed inside the stadium were left in disbelief when Jdidi ruled the goal out for a minor clash with Kwadwo Asamoah. Worse was to follow for the Burkinabe when Pitroipa was sent off after receiving a second yellow card for diving , despite replays showing he was quite clearly fouled. In the end, the contest went to penalties and it was Burkina Faso which held its nerve with Bakary Kone, Henri Traore and Bance all scoring to send it through to the final. Burkina captain Charles Kabore told reporters: ""The referee is human, all humans make mistakes, but he happened to make too many tonight. But we're not going to dwell on that, we've qualified."" 'Super Eagles' end Ivory Coast's AFCON hopes. In the day's early kick off, Nigeria reached the final for the first time since 2000 following a comfortable victory over Mali. The Super Eages scored three times in 20 first half minutes to take control of the contest and leave manager Stephen Keshi dreaming of repeating the triumph he pulled off as a player in 1994. Elderson Echiejile headed Nigeria ahead on 25 minutes before Brown Ideye added a second on the half-hour mark. Momo Sissoko then deflected Emmanuel Emenike's free-kick into the Mali net to leave his side facing an uphill struggle. And Ahmed Musa, who replaced the injured Victor Moses , inflicted further punishment on Mali when he ran through to score eight minutes after the interval. Mali, which famously came back from 4-0 down to draw 4-4 with Angola in the opening game of the 2010 finals, pulled one back through substitute Cheick Diarra in the 75th minute. Nigeria go through. But that failed to take the shine off for manager Keshi, who is now hoping to become only the second man in the tournament's history to win the tournament as a player and a coach after Egypt's Mahmoud El Gohary, who won it in 1959 and 1998. ""We won in 1994 after we had been together for five years,"" he told reporters. ""But we have been together for five weeks. We met up for the first time in our training camp in Portugal before the tournament, and it was a young group. ""We worked hard, the atmosphere was wonderful but you cannot compare this team to that. We did play very well today and I am very happy but we haven't won anything yet.""

Write highlights for this article.","1. Burkina Faso reaches the Africa Cup of Nations final for the first time after defeating Ghana in a dramatic penalty shootout.
2. Burkina Faso continues to play, despite losing striker David Pitroipa to a red card and having a seemingly legitimate goal ruled out.
3. Nigeria advances to the final with a convincing 4-1 victory over Mali, with the Super Eagles scoring three goals within the first 20 minutes of the match.
4. Burkina Faso will face Nigeria in the Africa Cup of Nations final, marking their first appearance in the final match of the tournament.
5. Nigeria's manager, Stephen Keshi, dreams of repeating his 1994 victory as a player, becoming only the second person in tournament history to win as both a player and a coach.",wh
"Q:What key details about lea ivanova  can be extracted from the following bio?  Bio: lea ivanova -lrb- august 13 , 1923 -- may 28 , 1986 -rrb- was a bulgarian jazz singer .
A:","Key details about Lea Ivanova:

1. Full name: Lea Ivanova
2. Date of birth: August 13, 1923
3. Date of death: May 28, 1986
4. Nationality: Bulgarian
5. Profession: Jazz singer",wh
"Please answer the following question: I read this background article the other day: The Hawaiian Islands ( Figure above ) are in the central Pacific Ocean. The islands are volcanoes that increase in age from southeast to northwest. The youngest island is the Big Island of Hawaii at the southeast end of the chain. The volcanoes get older through Maui, Kahoolawe, Lanai, Molokai, Oahu, Kauai, and Niihau Islands through the northwest. The Kilauea volcano on Hawaii has been erupting almost continuously since 1983. There are also eruptions at an underwater volcano called Loih  I am facing a new situation today: Melinda lived on The Big Island of Hawaii. One day she invited her Australian friend Janice over to visit the islands. Janice was very excited about the invitation.  Using the knowledge I acquired from the background article, how should I answer correctly the following question regarding my new situation: Which person lived closer to Lanai island?
Answer:","From the information provided in the background article, Melinda lived on the Big Island of Hawaii, which is the southeastern-most island in the Hawaiian Islands chain. Moving across the chain from southeast to northwest, the islands increase in age through Maui, Kahoolawe, Lanai, Molokai, Oahu, Kauai, and Niihau. Janice, on the other hand, lived in Australia, which is in the southern hemisphere and much farther away from the Hawaiian Islands.

Considering the geographic locations, Melinda, who lived on the Big Island, was definitely closer to Lanai island as compared to Janice, who lived in Australia. Though the Big Island is not the immediate neighbor of Lanai, being a part of the same Hawaiian archipelago makes it much closer to Lanai than Australia. 

While Janice would have to travel across the Pacific Ocean from Australia to visit the Hawaiian Islands, Melinda could simply traverse through the island chain to reach Lanai. Hence, knowing the position of the Hawaiian Islands in relation to both Melinda's and Janice's locations, we can safely conclude that Melinda lived closer to Lanai island in comparison to Janice.",wh
"Please answer the following question: Read the following context and choose the correct option to answer the question. Context: I married young, at 19, bright-eyed and hopeful, and in a few months, we will celebrate our 29th anniversary. Like all marriages, we have had our share of happy and sad, growing together as the years passed us by. My husband is my best friend, a wonderful father, a hard worker, a great provider, treats me like a queen, and loves me unconditionally. He is my soul mate in many ways. My husband is also gay. I had no idea when I married him. I was a virgin on our wedding night and had never had any type of physical relationship prior to my husband. Having nothing to compare it to, I thought our sexual intimacy was normal. It was fun, sexy, enjoyable. My husband was a giving partner, and I almost always experienced orgasm. But as the years went by, the frequency of our sexual activity became less. It was not unusual to go months without sex — not for lack of trying on my part. We rarely fought, but we would fight about the growing lack of intimacy. I often wondered what it was about me that made my husband not want to have sex with me.  And then one day, shortly after our 25th anniversary, I found gay porn on his computer.  At first he denied everything, but finally, through tears, he confessed that he’d had these same-sex attractions as long as he could remember. In his teens, a church counsellor had told him marriage would “cure” him. Feeling as though I had just been punched in the gut, I was heartbroken. I felt betrayed, confused, angry, sad, and yet, miraculously relieved.  There was nothing wrong with me — I was just not his type. The emotions flew through me leaving my head and heart confused. What now? I loved this man with every fibre of my being. We had a good life together, sex aside, and had built a family. We were happy. I did not want a divorce and neither did he. Question: What did the author find on her husband's computer? Options: - gay porn - not enough information - receipts for travel she did not know about - chats with an affair partner
Answer:",The author found gay porn on her husband's computer.,wh
